Sample Point;Sample Point Omschrijving;Lambert X;Lambert Y;Waterloop;Bekken;Gemeente;WL code;WL naam
BI91000;Grote Heide, thv natuurreservaat Hageven, opw brug;723943;718089;DOMMEL - BOVEN DOMMEL;Maasbekken;Pelt;VL05_136;DOMMEL
BI910000;Sint-Joris, Bruggesteenweg, Uniebrug, afw;540317;702997;IJZER - HAVEN VAN NIEUWPOORT;IJzerbekken;Nieuwpoort;VL17_9;IJZER III
BI916000;Roesbrugge, Bergenstraat, Roesbruggebrug;527249;680306;IJZER - HAVEN VAN NIEUWPOORT;IJzerbekken;Poperinge;VL08_7;IJZER I
BI946000;Westkaai, Ieperbrug;544800;674538;KANAAL IEPER-IJZER - KANAAL VAN IEPER NAAR DE IJZER;IJzerbekken;Ieper;VL05_166;KANAAL IEPER-IJZER
BI946600;Prov. domein;549041;667908;KANAAL VAN IEPER NAAR KOMEN;Leiebekken;Ieper;L222_2464;
BI99900;Kleine Brogel, Molhemstraat, opw weg en lozing veld;724986;706499;PEERDERLOOP;Maasbekken;Peer;L217_5201;
BIC05.3;;550744;691789;HANDZAMEVAART - SPANJAARDBEEK - DRIELINDENBEEK - ZWAANBEEK - RINGAARTBEEK - BAKVOORDEBEEK;IJzerbekken;Kortemark;VL05_3;HANDZAMEVAART
BINL-200001;Waterschap Brabantse Delta - Mark en Dintel;;;Onbekend;Onbekend;;ONB;Onbekend
BINL-210002;Waterschap Brabantse Delta - Bovenmark;;;Onbekend;Onbekend;;ONB;Onbekend
BINL-590901;Waterschap Brabantse Delta - Zuiderafwateringskanaal;;;Onbekend;Onbekend;;ONB;Onbekend
BINL-690505;Waterschap Brabantse Delta - Gat van de Ham;;;Onbekend;Onbekend;;ONB;Onbekend
BINL-890306;Waterschap Brabantse Delta - Rietkreek;;;Onbekend;Onbekend;;ONB;Onbekend
BINL-oDE_AA_155;Waterschap Aa en Maas - Aa, Kievitsloop. Eeuwselse Loop;;;Onbekend;Onbekend;;ONB;Onbekend
