"VispuntWID ""WaarnemingWID"" ""Datum"" ""VispuntX"" ""VispuntY"" ""geometry"""
80 1205 8150 2010-06-04 173060 173913.01 c(173060, 173913.01)
81 1224 8151 2010-06-04 174056 176275.01 c(174056, 176275.01)
82 1228 8152 2010-06-03 169163 165020.01 c(169163, 165020.01)
83 1235 8153 2010-07-19 145711 163216.01 c(145711, 163216.01)
84 1234 8155 2010-07-19 139831 155704.01 c(139831, 155704.01)
85 1742 8156 2010-06-29 187359 162724.01 c(187359, 162724.01)
86 1253 8159 2010-04-21 138898 163125.01 c(138898, 163125.01)
87 1675 8160 2010-04-21 138847 163315.01 c(138847, 163315.01)
88 1251 8161 2010-04-21 143940 165332.01 c(143940, 165332.01)
89 1577 8162 2010-04-21 138885 168328.01 c(138885, 168328.01)
90 1652 8163 2010-04-22 171405 168292.01 c(171405, 168292.01)
91 1555 8164 2010-04-22 168949 164747.01 c(168949, 164747.01)
92 1563 8167 2010-04-20 164153 160280.01 c(164153, 160280.01)
93 564 8168 2010-05-12 145339 183939.01 c(145339, 183939.01)
94 990 8169 2010-04-02 121032 187750.01 c(121032, 187750.01)
95 1732 8170 2010-06-29 188872 164488.01 c(188872, 164488.01)
96 1740 8172 2010-06-29 200799 171722.01 c(200799, 171722.01)
97 2040 8174 2010-04-22 169350 165280.01 c(169350, 165280.01)
98 891 8175 2010-05-10 147993 196099.01 c(147993, 196099.01)
99 1778 8178 2010-06-30 198784 186947.01 c(198784, 186947.01)
100 1930 8179 2010-07-01 231153 176316.01 c(231153, 176316.01)
101 1858 8180 2010-07-01 203352 179821.01 c(203352, 179821.01)
102 2132 8181 2010-07-01 195298 188410.01 c(195298, 188410.01)
103 1859 8182 2010-06-29 202776 175471.01 c(202776, 175471.01)
104 871 8187 2010-03-23 107084 217917.01 c(107084, 217917.01)
105 869 8188 2010-03-23 105320 218256.01 c(105320, 218256.01)
106 873 8189 2010-03-24 102390 217613.01 c(102390, 217613.01)
107 872 8190 2010-03-24 103457 215685.01 c(103457, 215685.01)
108 249 8192 2010-03-24 104970 200072.01 c(104970, 200072.01)
109 254 8194 2010-03-23 84638 192484.01 c(84638, 192484.01)
110 585 8195 2010-03-23 85694 192628.01 c(85694, 192628.01)
111 262 8197 2010-03-23 86225 190557.01 c(86225, 190557.01)
112 580 8198 2010-03-24 92238 191784.01 c(92238, 191784.01)
113 586 8202 2010-03-24 82508 193437.01 c(82508, 193437.01)
114 3237 8205 2010-05-06 78716 169466.01 c(78716, 169466.01)
115 1136 8206 2010-05-06 82776 177591.01 c(82776, 177591.01)
116 1138 8207 2010-05-06 84128 176434.01 c(84128, 176434.01)
117 1137 8209 2010-05-05 82546 172779.01 c(82546, 172779.01)
118 1135 8210 2010-05-05 83396 173903.01 c(83396, 173903.01)
119 1355 8211 2010-05-05 83551 173375.01 c(83551, 173375.01)
120 1146 8221 2010-06-22 61148 166828.01 c(61148, 166828.01)
121 1160 8226 2010-06-24 1e+05 190163.01 c(1e+05, 190163.01)
122 916 8228 2010-06-23 64996 165234.01 c(64996, 165234.01)
123 1108 8233 2010-06-08 65138 165772.01 c(65138, 165772.01)
124 1108 8234 2010-06-07 65138 165772.01 c(65138, 165772.01)
125 1113 8237 2010-06-10 74078 171295.01 c(74078, 171295.01)
126 1113 8238 2010-06-07 74078 171295.01 c(74078, 171295.01)
127 1124 8239 2010-06-11 85515 181789.01 c(85515, 181789.01)
